Year,State,Volume of Logs Harvested (m^3)
2011-12,New South Wales,"5,745"
2012–13,New South Wales,"5,409"
2013–14,New South Wales,"5,391"
2014–15,New South Wales,"5,501"
2015–16,New South Wales,"5,590"
2016–17,New South Wales,"5,980"
2017–18,New South Wales,"6,224"
2018–19,New South Wales,"6,381"
2019–20,New South Wales,"6,586"
2020–21,New South Wales,"6,445"
2011-12,Victoria,"6,620"
2012–13,Victoria,"6,681"
2013–14,Victoria,"7,313"
2014–15,Victoria,"8,066"
2015–16,Victoria,"8,165"
2016–17,Victoria,"9,576"
2017–18,Victoria,"9,050"
2018–19,Victoria,"8,859"
2019–20,Victoria,"7,147"
2020–21,Victoria,"6,594"
2011-12,Queensland,"2,406"
2012–13,Queensland,"1,886"
2013–14,Queensland,"2,029"
2014–15,Queensland,"2,076"
2015–16,Queensland,"2,947"
2016–17,Queensland,"2,994"
2017–18,Queensland,"3,153"
2018–19,Queensland,"2,892"
2019–20,Queensland,"2,766"
2020–21,Queensland,"2,536"
2011-12,South Australia,"2,303"
2012–13,South Australia,"2,462"
2013–14,South Australia,"3,079"
2014–15,South Australia,"3,516"
2015–16,South Australia,"4,110"
2016–17,South Australia,"4,397"
2017–18,South Australia,"4,148"
2018–19,South Australia,"4,245"
2019–20,South Australia,"3,541"
2020–21,South Australia,"2,872"
2011-12,Western Australia,"3,885"
2012–13,Western Australia,"4,024"
2013–14,Western Australia,"4,110"
2014–15,Western Australia,"4,676"
2015–16,Western Australia,"4,967"
2016–17,Western Australia,"4,995"
2017–18,Western Australia,"4,546"
2018–19,Western Australia,"4,488"
2019–20,Western Australia,"3,854"
2020–21,Western Australia,"3,352"
2011-12,Tasmania,"2,538"
2012–13,Tasmania,"2,410"
2013–14,Tasmania,"3,344"
2014–15,Tasmania,"3,455"
2015–16,Tasmania,"4,304"
2016–17,Tasmania,"5,264"
2017–18,Tasmania,"5,819"
2018–19,Tasmania,"5,734"
2019–20,Tasmania,"5,587"
2020–21,Tasmania,"5,299"
2011-12,Northern Territory,0
2012–13,Northern Territory,0
2013–14,Northern Territory,0
2014–15,Northern Territory,0
2015–16,Northern Territory,0
2016–17,Northern Territory,0
2017–18,Northern Territory,0
2018–19,Northern Territory,0
2019–20,Northern Territory,0
2020–21,Northern Territory,0
2011-12,Aust. Capital Territory,0
2012–13,Aust. Capital Territory,0
2013–14,Aust. Capital Territory,0
2014–15,Aust. Capital Territory,0
2015–16,Aust. Capital Territory,0
2016–17,Aust. Capital Territory,0
2017–18,Aust. Capital Territory,0
2018–19,Aust. Capital Territory,0
2019–20,Aust. Capital Territory,0
2020–21,Aust. Capital Territory,0
