  ,,,,,,,,,,,,,,,,,,,,,,
"Plantation areas, by type and state ('000 ha)",,,,,,,,,,,,,,,,,,,,,,
,,Units,2001–02,2002–03,2003–04,2004–05,2005–06,2006–07,2007–08,2008–09,2009–10,2010–11,2011–12,2012–13,2013–14,2014–15,2015–16,2016–17,2017–18,2018–19,2019–20,2020–21
Hardwood,,,,,,,,,,,,,,,,,,,,,,
,New South Wales,’000 ha,51.3,51,54.1,55.2,62.6,70.6,81.7,92.5,93,93,93,93,90.6,87.1,87.1,87.1,87.1,87.1,55.7,55
,Victoria,’000 ha,142.6,154.7,168.5,164.7,175.3,191,200.7,202.7,203,205.8,206.6,206.5,206,199,199,197.5,196.3,194.1,161.9,159.6
,Queensland,’000 ha,26,30.5,34.4,37.5,42.8,49.4,59.3,63.6,39.8,40.9,41.4,41.5,41.6,34.8,34.8,34.8,34.8,34.8,18,18
,South Australia,’000 ha,32.4,37.1,39.4,42.3,47.9,55,58.4,58.7,59.7,59.7,59.7,59.7,59.7,51.4,51.4,48.5,44.8,38.5,43.9,43.8
,Western Australia,’000 ha,247.5,251.5,259.4,270.8,281.3,294.7,305,311.8,307.4,306.7,301,298.9,287.3,276.4,276.4,260.9,253.5,250,197.6,194.3
,Tasmania,’000 ha,135.3,146.6,151.3,155.5,174,199.1,217.1,232,234.4,235.6,235.6,235.6,235.6,233.9,233.9,233.9,233.9,233.9,199.5,196.3
,Northern Territory,’000 ha,3.2,4.4,8.4,14.1,23.5,23.7,27.3,29.6,35.7,37.8,39.4,41.1,42.3,45.7,45.7,45.6,45.5,45.5,46.9,43.9
,Aust. Capital Territory,’000 ha,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Australia a,’000 ha,638.3,676,715.5,740.2,807.4,883.5,949.5,990.9,973,979.5,976.7,976.4,963.1,928.3,928.3,908.5,896,884,723.6,711
  ,,,,,,,,,,,,,,,,,,,,,,
Softwood,,,,,,,,,,,,,,,,,,,,,,
,New South Wales,’000 ha,270.5,280.3,287.3,273.6,280,285.7,285.6,287.8,295.5,295.8,296.2,296.5,296.7,305.7,307.1,307.1,306,306,304,292.5
,Victoria,’000 ha,217.3,212,214.9,218.4,218.9,219.4,219.9,220,226.4,225.9,225.9,225.9,226,223.3,223.3,223.4,223.4,223.6,224,222.3
,Queensland,’000 ha,181.6,181.1,180.2,186,187.7,188.8,189.2,190.7,188.3,189.1,189.4,189.4,189.4,195.5,195.5,195.5,195.6,195.6,184.5,184.5
,South Australia,’000 ha,116.8,120.5,124.3,124.2,124.2,122.9,122.9,123.4,128.4,128.5,128.5,128.5,128.5,127.2,127.2,127.2,127.2,128.1,128.3,124.2
